,,model,group,stimulus,parsed_sent,sent,human_judgment,,tregex_judgment
285,28,t5-finetune,coord_emb-VP,%% has been a classic in the French literature and further recommended to be included into the essential readings is %%.,"(S (NP (NP (CD One)) (PP (IN of) (NP (NP (DT those) (NNS books)) (SBAR (WHNP (WDT that)) (S (VP (VP (VBZ has) (VP (VBN been) (NP (NP (DT a) (NN classic)) (PP (IN in) (NP (DT the) (JJ French) (NN literature)))))) (CC and) (VP (ADVP (RB further)) (VBN recommended) (S (VP (TO to) (VP (VB be) (VP (VBN included) (PP (IN into) (NP (DT the) (JJ essential) (NNS readings)))))))))))))) (VP (VBZ is) (NP (`` ``) (S (VP (VBG Reporting) (PP (IN From) (NP (DT The) (NN Past))))) (, ,) ('' '') (SBAR (WHNP (WDT which)) (S (VP (MD will) (VP (VB be) (VP (VBN published) (NP (JJ next) (NN year)) (PP (IN in) (NP (NP (DT the) (NN library)) (PP (IN of) (NP (DT the) (NNP Université) (IN de) (NNP Paris)))))))))))) (. .))","One of those books that has been a classic in the French literature and further recommended to be included into the essential readings is``Reporting From The Past ,""which will be published next year in the library of the Université de Paris.",1,,1
286,101,t5-finetune,coord_emb-VP,%% has been focusing on this puzzling mathematical problem for five years and finally made some promising progress was %%.,(S (NP (NP (CD One)) (PP (IN of) (NP (NP (DT the) (NNS reasons)) (SBAR (WHADVP (WRB why)) (S (NP (DT the) (NN government)) (VP (VP (VBZ has) (VP (VBN been) (VP (VBG focusing) (PP (IN on) (NP (DT this) (JJ puzzling) (JJ mathematical) (NN problem))) (PP (IN for) (NP (CD five) (NNS years)))))) (CC and) (VP (ADVP (RB finally)) (VBD made) (NP (DT some) (JJ promising) (NN progress))))))))) (VP (VBD was) (SBAR (IN that) (S (NP (PRP it)) (VP (VBD seemed) (SBAR (IN like) (S (NP (PRP it)) (VP (VBD was) (NP (DT a) (`` ``) (JJ no-win) ('' '') (NN situation))))))))) (. .)),"One of the reasons why the government has been focusing on this puzzling mathematical problem for five years and finally made some promising progress was that it seemed like it was a``no-win""situation.",1,,1
287,40,t5-finetune,coord_emb-VP,%% has been focusing on this puzzling mathematical problem for five years and finally made some promising progress was %%.,(S (NP (CD One) (NN reason) (SBAR (WHADVP (IN that)) (S (NP (DT the) (NN center)) (VP (VP (VBZ has) (VP (VBN been) (VP (VBG focusing) (PP (IN on) (NP (DT this) (JJ puzzling) (JJ mathematical) (NN problem))) (PP (IN for) (NP (CD five) (NNS years)))))) (CC and) (VP (ADVP (RB finally)) (VBD made) (NP (DT some) (JJ promising) (NN progress))))))) (VP (VBD was) (SBAR (IN that) (S (NP (PRP$ its) (NNS members)) (VP (VBD did) (RB n't) (VP (VB realize) (NP (DT the) (NN problem)) (SBAR (IN until) (S (NP (PRP they)) (VP (VBD had) (VP (VBN begun) (S (VP (S (VP (VBG working) (PP (IN on) (NP (DT the) (NN paper))))) (PP (IN at) (NP (NP (DT the) (NNP University)) (PP (IN of) (NP (NNP Chicago)))))))))))))))) (. .)),One reason that the center has been focusing on this puzzling mathematical problem for five years and finally made some promising progress was that its members didn't realize the problem until they had begun working on the paper at the University of Chicago.,1,,1
288,330,t5-finetune,coord_gap-NP,%% what the white wines and the champagnes %% their tastes.,(S (RB So) (NP (NP (PRP it))) (VP (VBZ 's) (NP (DT a) (JJ good) (NN idea)) (S (VP (VP (TO to) (VP (VB see) (SBAR (WHNP (WP what)) (S (NP (NP (DT the) (JJ white) (NNS wines)) (CC and) (NP (DT the) (NNS champagnes))) (VP (VBP have) (S (VP (TO to) (VP (VB offer))))))))) (CC and) (VP (TO to) (VP (VB decide) (SBAR (WHNP (WP what)) (S (VP (VBZ suits) (NP (PRP$ their) (NNS tastes)))))))))) (. .)),So it's a good idea to see what the white wines and the champagnes have to offer and to decide what suits their tastes.,1,,1
289,283,t5-finetune,coord_gap-NP,%% what the white wines and the champagnes %% their tastes.,"(S (S (ADVP (NP (NP (DT A) (NN couple)) (PP (IN of) (NP (NNS weeks)))) (RB ago)) (, ,) (NP (NP (PRP he)) (CC and) (NP (PRP$ his) (NNS colleagues))) (VP (VBD decided) (SBAR (IN that) (S (NP (NN wine) (CC and) (NN beer)) (VP (VBD were) (ADJP (JJ important))))))) (, ,) (CC but) (S (NP (NP (PRP it))) (VP (VBD was) (ADJP (JJ hard)) (S (VP (TO to) (VP (VB imagine) (SBAR (WHNP (WP what)) (S (NP (NP (DT the) (JJ white) (NNS wines)) (CC and) (NP (DT the) (NNS champagnes))) (VP (MD would) (VP (VB be) (PP (IN like)) (PP (IN for) (NP (PRP$ their) (NNS tastes)))))))))))) (. .))","A couple of weeks ago, he and his colleagues decided that wine and beer were important, but it was hard to imagine what the white wines and the champagnes would be like for their tastes.",1,,1
290,133,t5-finetune,coord_gap-NP,%% what the senators who support the proposal and those who oppose %% the steps moving forward.,(S (CC And) (NP (NP (PRP it))) (VP (VBZ 's) (ADJP (JJ important)) (S (VP (TO to) (VP (VB understand) (SBAR (WHNP (WP what)) (S (NP (NP (NP (DT the) (NNS senators)) (SBAR (WHNP (WP who)) (S (VP (VBP support) (NP (DT the) (NN proposal)))))) (CC and) (NP (NP (DT those)) (SBAR (WHNP (WP who)) (S (VP (VBP oppose) (NP (PRP it))))))) (VP (VBP are) (VP (VBG saying) (PP (IN about) (NP (NP (DT the) (NNS steps)) (VP (VBG moving) (ADVP (RB forward))))))))))))) (. .)),And it's important to understand what the senators who support the proposal and those who oppose it are saying about the steps moving forward.,1,,1
291,21,t5-finetune,coord_gap-NP,%% what the senators who support the proposal and those who oppose %% the steps moving forward.,"(S (PP (IN At) (NP (DT the) (JJ same) (NN time))) (, ,) (NP (DT the) (NN committee)) (VP (VBZ has) (VP (VBN sought) (S (VP (TO to) (VP (VB know) (SBAR (WHNP (WP what)) (S (NP (NP (NP (DT the) (NNS senators)) (SBAR (WHNP (WP who)) (S (VP (VBP support) (NP (DT the) (NN proposal)))))) (CC and) (NP (NP (DT those)) (SBAR (WHNP (WP who)) (S (VP (VBP oppose) (NP (PRP it))))))) (VP (VB say) (PP (IN about) (NP (NP (DT the) (NNS steps)) (VP (VBG moving) (ADVP (RB forward))))))))))))) (. .))","At the same time, the committee has sought to know what the senators who support the proposal and those who oppose it say about the steps moving forward.",1,,1
292,107,t5-finetune,coord_neither,%% neither give up too quickly simply because of the failures encountered at the initial %%.,"(S (PP (IN In) (ADJP (JJ short))) (, ,) (NP (PRP it)) (VP (VBD was) (NP (NP (DT a) (JJ clear) (NN example)) (PP (IN of) (SBAR (WHADVP (WRB why)) (S (NP (DT the) (NN company)) (VP (VP (MD should) (RB not) (VP (VB lose) (NP (NN money)))) (CC or) (S (ADVP (CC neither) (VB give) (PRT (RP up)) (ADVP (ADVP (RB too) (RB quickly)) (ADVP (RB simply)))) (IN because) (IN of) (NP (NP (NP (DT the) (NNS failures)) (VP (VBN encountered) (PP (IN at) (NP (DT the) (JJ initial) (NN trial))))) (, ,) (CC but) (PP (RB because) (IN of) (NP (NP (DT the) (JJ high) (NN cost)) (PP (IN of) (NP (DT the) (JJ original) (NN trial))))))))))))) (. .))","In short, it was a clear example of why the company should not lose money or neither give up too quickly simply because of the failures encountered at the initial trial, but because of the high cost of the original trial.",0,,1
293,405,t5-finetune,coord_neither,%% neither give up too quickly simply because of the failures encountered at the initial %%.,(S (NP (PRP He)) (VP (VBD said) (SBAR (S (NP (PRP he)) (VP (VBD was) (ADJP (VBN convinced) (SBAR (IN that) (NP (NP (PRP it))) (VP (VBD was) (RB not) (ADJP (JJ possible)) (SBAR (SBAR (IN for) (S (NP (NP (DT any)) (PP (IN of) (NP (DT the) (NNS players)))) (VP (TO to) (RB neither) (VP (VB give) (PRT (RP up)) (ADVP (RB too) (RB quickly)) (PP (ADVP (RB simply)) (IN because) (IN of) (NP (NP (DT the) (NNS failures)) (VP (VBN encountered) (PP (IN at) (NP (NP (DT the) (JJ initial) (NNS stages)) (PP (IN of) (NP (PRP$ their) (NNS lives)))))))))))) (CC nor) (SBAR (IN that) (S (NP (PRP$ their) (NN work)) (VP (MD would) (RB not) (VP (VB be) (VP (VBN done) (PP (IN in) (NP (DT the) (JJ first) (NN place)))))))))))))))) (. .)),He said he was convinced that it was not possible for any of the players to neither give up too quickly simply because of the failures encountered at the initial stages of their lives nor that their work would not be done in the first place.,1,,1
294,236,t5-finetune,coord_neither,%% neither book a ticket from an agency that does not have a valid %%.,"(S (PP (IN Under) (NP (DT the) (JJ new) (NN law))) (, ,) (NP (NNS passengers)) (VP (MD can) (VP (CC neither) (VP (VB book) (NP (NP (DT a) (NN ticket)) (PP (IN from) (NP (NP (DT an) (NN agency)) (SBAR (WHNP (WDT that)) (S (VP (VBZ does) (RB not) (VP (VB have) (NP (DT a) (JJ valid) (NN ID)))))))))) (CC nor) (VP (VB pay) (NP (NP (DT the) (NN airline) (POS 's)) (NNS fees)) (PP (IN on) (NP (PRP$ their) (JJ own)))))) (. .))","Under the new law, passengers can neither book a ticket from an agency that does not have a valid ID nor pay the airline's fees on their own.",1,,1
295,3,t5-finetune,coord_neither,%% neither book a ticket from an agency that does not have a valid %%.,"(S (S (CC But) (SBAR (IN if) (S (NP (DT the) (NN passenger)) (VP (VBZ does) (RB n't) (VP (VB have) (NP (DT a) (NN passport)))))) (, ,) (NP (NP (PRP it))) (VP (VBZ is) (ADJP (JJ possible)) (S (VP (TO to) (VP (CC neither) (VB book) (NP (DT a) (NN ticket)) (PP (IN from) (NP (NP (DT an) (NN agency)) (SBAR (WHNP (WDT that)) (S (VP (VP (VBZ does) (RB not) (VP (VB have) (NP (DT a) (JJ valid) (NN passport)))) (CC nor) (VP (VB pay) (NP (DT a) (NN fine))))))))))))) (, ,) (NP (PRP she)) (VP (VBD said)) (. .))","But if the passenger doesn't have a passport, it is possible to neither book a ticket from an agency that does not have a valid passport nor pay a fine, she said.",1,,1
296,131,t5-finetune,gap_adjunct,%% how the %% have considered impossible to tackle.,"(S (NP (NP (DT The) (NN story)) (PP (IN of) (SBAR (WHADVP (WRB how)) (S (NP (DT the) (NNP United) (NNPS States)) (VP (VBD became) (NP (NP (DT the) (ADJP (JJ second) (JJS largest)) (JJ Muslim) (NN country)) (SBAR (S (VP (TO to) (VP (VB surpass) (NP (DT the) (NNP United) (NNPS States)) (PP (IN in) (NP (DT the) (NN world))))))))))))) (, ,) (VP (VBZ is) (NP (NP (NN something)) (SBAR (S (NP (JJ many) (JJ American) (NNS leaders)) (VP (MD would) (VP (VB have) (VP (VBN considered) (S (ADJP (JJ impossible) (SBAR (S (VP (TO to) (VP (VB tackle)))))))))))))) (. .))","The story of how the United States became the second largest Muslim country to surpass the United States in the world, is something many American leaders would have considered impossible to tackle.",1,,1
297,246,t5-finetune,gap_adjunct,%% how the %% have considered impossible to tackle.,"(S (NP (DT The) (NN decision) (S (VP (TO to) (VP (VB delay) (NP (PRP$ its) (NN publication)))))) (VP (VBZ is) (ADJP (JJ important)) (SBAR (IN because) (S (NP (PRP it)) (VP (VBZ shows) (SBAR (WHADVP (WRB how)) (S (NP (DT the) (NNP State) (NNP Department)) (VP (MD will) (VP (VB try) (S (VP (TO to) (VP (VB determine) (SBAR (IN whether) (S (NP (DT the) (NNP State) (NNP Department)) (VP (VBD had) (NP (NP (NP (DT a) (JJ good) (NN deal)) (PP (IN of) (NP (NP (NN control)) (PP (IN over) (NP (NP (DT the) (NN war)) (PP (IN in) (NP (NNP Iraq)))))))) (, ,) (NP (NP (DT a) (NN challenge)) (SBAR (S (NP (DT the) (NN administration)) (VP (MD may) (VP (VB have) (VP (VBN considered) (S (ADJP (JJ impossible) (SBAR (S (VP (TO to) (VP (VB tackle)))))))))))))))))))))))))))) (. .))","The decision to delay its publication is important because it shows how the State Department will try to determine whether the State Department had a good deal of control over the war in Iraq, a challenge the administration may have considered impossible to tackle.",1,,1
298,486,t5-finetune,gap_adjunct,%% why many %% which used to live across the earth.,"(S (NP (PRP They)) (VP (VBP say) (SBAR (S (NP (DT the) (NN situation)) (VP (VBZ is) (ADJP (ADJP (RB so) (JJ extreme)) (SBAR (IN that) (S (NP (NP (PRP it))) (VP (VBZ 's) (ADJP (JJ hard)) (S (VP (TO to) (VP (VB see) (SBAR (WHADVP (WRB why)) (S (NP (JJ many) (NNS people)) (ADVP (RB now)) (VP (VBP believe) (SBAR (S (NP (DT the) (NNS people)) (VP (VBP are) (ADJP (JJ able) (S (VP (TO to) (VP (VB live) (PP (PP (IN in) (NP (DT the) (JJ same) (NN space))) (CC and) (PP (PP (IN in) (NP (DT the) (JJ same) (NN habitation))) (, ,) (ADJP (JJ similar) (PP (TO to) (NP (NP (NNS people)) (SBAR (WHNP (WDT which)) (S (VP (VBD used) (S (VP (TO to) (VP (VB live) (PP (IN across) (NP (DT the) (NN earth))))))))))))))))))))))))))))))))))) (. .))","They say the situation is so extreme that it's hard to see why many people now believe the people are able to live in the same space and in the same habitation, similar to people which used to live across the earth.",1,,1
299,364,t5-finetune,gap_adjunct,%% why many %% which used to live across the earth.,"(S (PP (IN In) (NP (DT some) (NNS ways))) (, ,) (NP (DT this)) (VP (VBZ is) (SBAR (WHADVP (WRB why)) (S (NP (NP (JJ many)) (PP (IN of) (NP (NP (DT the) (NNS people)) (SBAR (S (NP (PRP I)) (VP (VBP know))))))) (VP (VBP are) (PP (IN in) (NP (NP (DT the) (NN military)) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBD used) (S (VP (TO to) (VP (VB live) (PP (IN across) (NP (DT the) (NN earth))))))))))))))) (. .))","In some ways, this is why many of the people I know are in the military, which used to live across the earth.",1,,1
300,367,t5-finetune,gap_obj,%% what some %% time.,(S (NP (DT That)) (VP (VBZ 's) (SBAR (SBAR (WHNP (WP what)) (S (NP (DT some) (NNPS Americans)) (VP (VBP say)))) (VP (VBZ is) (NP (NP (DT the) (JJS worst) (NN thing)) (SBAR (S (NP (PRP I)) (VP (VBP have) (VP (VBN heard) (PP (IN in) (NP (DT a) (JJ long) (NN time))))))))))) (. .)),That's what some Americans say is the worst thing I have heard in a long time.,1,,1
301,346,t5-finetune,gap_obj,%% what some %% time.,(S (NP (DT This)) (VP (VBZ is) (SBAR (WHNP (WP what)) (S (NP (DT some) (NNS people)) (VP (VBD said) (PP (IN at) (NP (DT the) (NN time))))))) (. .)),This is what some people said at the time.,1,,1
302,181,t5-finetune,gap_obj,%% what the %% the journalist.,"(S (PP (IN At) (NP (DT some) (NN point))) (, ,) (NP (PRP I)) (VP (VBD wondered) (SBAR (WHNP (WP what)) (S (NP (DT the) (JJ next) (NN step)) (VP (MD would) (VP (VB be) (PP (IN for) (NP (DT the) (NN journalist)))))))) (. .))","At some point, I wondered what the next step would be for the journalist.",1,,1
303,38,t5-finetune,gap_obj,%% what the %% the journalist.,"(SINV (`` ``) (S (NP (PRP I)) (VP (VBP have) (NP (NP (DT no) (NN idea)) (SBAR (WHNP (WP what)) (S (NP (DT the) (JJ real) (NNS problems)) (VP (VBP are))))))) (, ,) ('' '') (VP (VBD said)) (NP (DT the) (NN journalist)) (. .))","\"" I have no idea what the real problems are ,""said the journalist.",1,,1
304,6,t5-finetune,gap_phrasal-verb,%% how %% fell into.,"(S (CC And) (NP (DT that)) (VP (VBZ 's) (SBAR (SBAR (WHADVP (WRB how)) (S (NP (PRP I)) (VP (VBD grew) (ADVP (RB up))))) (, ,) (CC and) (SBAR (WHADVP (WRB where)) (S (NP (PRP I)) (VP (VBD fell) (PP (IN into))))))) (. .))","And that's how I grew up, and where I fell into.",1,,1
305,479,t5-finetune,gap_phrasal-verb,%% how %% fell into.,(S (NP (PRP He)) (VP (VBD said) (SBAR (IN that) (S (NP (DT the) (JJ next) (NN step)) (VP (VBD was) (S (VP (TO to) (VP (VB see) (SBAR (WHADVP (WRB how) (RB far)) (S (NP (PRP he)) (VP (MD could) (VP (VB get) (SBAR (IN if) (S (NP (PRP he)) (VP (VBD got) (PP (IN into) (NP (NP (DT the) (NN trap)) (SBAR (S (NP (PRP I)) (VP (VBD fell) (PP (IN into))))))))))))))))))))) (. .)),He said that the next step was to see how far he could get if he got into the trap I fell into.,1,,1
306,480,t5-finetune,gap_phrasal-verb,%% how %% rushed into.,(S (NP (NP (PRP It))) (VP (VBZ is) (RB not) (ADJP (JJ hard)) (S (VP (TO to) (VP (VB understand) (SBAR (WHADVP (WRB how)) (S (NP (PRP they)) (VP (VBD managed) (NP (NP (DT the) (NN situation)) (SBAR (WHNP (IN that)) (S (NP (PRP they)) (VP (VBD rushed) (PP (IN into))))))))))))) (. .)),It is not hard to understand how they managed the situation that they rushed into.,1,,1
307,427,t5-finetune,gap_phrasal-verb,%% how %% rushed into.,(S (NP (PRP I)) (VP (VBP 'm) (RB not) (ADJP (JJ sure) (SBAR (WHADVP (WRB how)) (S (NP (PRP they)) (VP (VBP feel) (PP (IN about) (NP (NP (DT the) (NN situation)) (SBAR (S (NP (PRP I)) (VP (VBP 've) (VP (VBN been) (VP (VBN rushed) (PP (IN into)))))))))))))) (. .)),I'm not sure how they feel about the situation I've been rushed into.,1,,1
308,192,t5-finetune,gap_subj,%% who %% has answered the question.,"(S (CC But) (NP (DT this)) (VP (VBZ is) (RB not) (NP (NP (DT the) (JJ first) (NN time)) (SBAR (WHADVP (IN that)) (S (NP (NP (NNP Mr.) (NNP Bush)) (, ,) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (VP (ADVP (RB widely)) (VBN credited) (PP (IN with) (S (VP (VBG making) (S (NP (NP (PRP it))) (ADJP (JJ clear)) (SBAR (IN that) (S (NP (PRP he)) (VP (VBD did) (RB not) (VP (VB seek) (S (VP (TO to) (VP (VB overturn) (NP (NP (NP (NNP President) (NNP Bush) (POS 's)) (NN policy)) (PP (IN on) (NP (NNP Iraq))))))))))))))))))) (, ,)) (VP (VBZ has) (VP (VBN answered) (NP (DT the) (NN question)))))))) (. .))","But this is not the first time that Mr. Bush, who is widely credited with making it clear that he did not seek to overturn President Bush's policy on Iraq, has answered the question.",1,,1
309,91,t5-finetune,gap_subj,%% who %% has answered the question.,(S (CC But) (NP (NP (DT no) (NN one)) (SBAR (WHNP (WP who)) (S (VP (VBZ has) (ADVP (RB ever)) (VP (VBN been) (PP (TO to) (NP (DT the) (NNP White) (NNP House)))))))) (VP (VBZ has) (VP (VBN answered) (NP (DT the) (NN question)))) (. .)),But no one who has ever been to the White House has answered the question.,1,,1
310,515,t5-finetune,gap_subj,%% who %% is facing the challenges.,"(S (NP (NP (DT The) (NN president)) (, ,) (SBAR (WHNP (WP who)) (S (VP (VBZ has) (VP (VBN spent) (NP (NP (JJS most)) (PP (IN of) (NP (PRP$ his) (NN presidency)))) (PP (IN in) (NP (DT the) (NN administration))))))) (, ,)) (VP (VBZ is) (VP (VBG facing) (NP (DT the) (NNS challenges)))) (. .))","The president, who has spent most of his presidency in the administration, is facing the challenges.",1,,1
311,291,t5-finetune,gap_subj,%% who %% is facing the challenges.,"(S (NP (NP (NNP Mr.) (NNP Johnson)) (, ,) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (ADVP (RB also)) (NP (NP (DT an) (NN editor)) (PP (IN of) (NP (DT The) (NNP New) (NNP York) (NNP Times))))))) (, ,)) (VP (VBD said) (SBAR (S (NP (DT the) (NN newspaper)) (VP (VBZ is) (VP (VBG facing) (NP (DT the) (NNS challenges))))))) (. .))","Mr. Johnson, who is also an editor of The New York Times, said the newspaper is facing the challenges.",1,,1
312,271,bart-finetune,agreement_emb-subj-long,%% hope that the book %% are %%.,(S (VP (VB Let) (S (NP (PRP 's)) (VP (VB hope) (SBAR (IN that) (S (NP (DT the) (NN book)) (VP (MD will) (VP (VB be) (NP (DT a) (NN model)) (PP (IN for) (NP (NP (DT the) (NN rest)) (PP (IN of) (NP (PRP us))) (SBAR (WHNP (WP who)) (S (VP (VBP are) (VP (VBG trying) (S (VP (TO to) (VP (VB do) (NP (DT the) (JJ same)))))))))))))))))) (. .)),Let's hope that the book will be a model for the rest of us who are trying to do the same.,1,,1
313,277,bart-finetune,agreement_emb-subj-long,%% hope that the book %% are %%.,(S (NP (PRP It)) (VP (VBZ is) (NP (PRP$ our) (NN hope) (SBAR (IN that) (S (NP (DT the) (NN book)) (VP (MD will) (VP (VB help) (S (NP (PRP you)) (VP (VB understand) (SBAR (SBAR (WHNP (WP who)) (S (NP (PRP you)) (VP (VBP are)))) (CC and) (SBAR (WHADVP (WRB how)) (S (NP (PRP you)) (VP (VBP affect) (NP (NP (NNS people)) (PP (IN around) (NP (PRP you)))))))))))))))) (. .)),It is our hope that the book will help you understand who you are and how you affect people around you.,1,,1
314,82,bart-finetune,agreement_emb-subj-long,%% surprising that the customer %% are %%.,(S (RB So) (NP (NP (PRP it))) (VP (VBZ is) (RB not) (JJ surprising) (SBAR (IN that) (S (NP (NP (DT the) (NN customer) (POS 's)) (NNS expectations)) (VP (VBP are) (PP (IN about) (NP (NP (DT the) (NN quality)) (PP (IN of) (NP (NP (DT the) (NN product)) (PP (IN at) (NP (NN hand))))))))))) (. .)),So it is not surprising that the customer's expectations are about the quality of the product at hand.,1,,1
315,208,bart-finetune,agreement_emb-subj-long,%% surprising that the customer %% are %%.,(S (NP (NP (PRP It))) (VP (VBZ 's) (ADJP (RB not) (JJ surprising)) (SBAR (IN that) (S (NP (NP (DT the) (NN customer) (POS 's)) (NNS expectations)) (VP (VBP are) (ADJP (ADJP (JJR higher)) (PP (IN than) (NP (DT the) (NN company) (POS 's)))))))) (. .)),It's not surprising that the customer's expectations are higher than the company's.,1,,1
316,150,bart-finetune,agreement_subj-long,The tasks assigned to the volunteer at %% is %%.,"(S (NP (NP (DT The) (NNS tasks)) (VP (VBN assigned) (PP (TO to) (NP (NP (DT the) (NN volunteer)) (PP (IN at) (NP (DT this) (NN program))))))) (VP (VBP are) (S (VP (TO to) (VP (VB write) (NP (NP (DT the) (JJ first) (NN book)) (PP (IN on) (NP (DT the) (NN subject))) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (VP (VBN expected) (S (VP (TO to) (VP (VB be) (VP (VBN published) (PP (IN by) (NP (NP (DT the) (NN end)) (PP (IN of) (NP (DT this) (NN year)))))))))))))))))) (. .))","The tasks assigned to the volunteer at this program are to write the first book on the subject, which is expected to be published by the end of this year.",1,,1
317,282,bart-finetune,agreement_subj-long,The tasks assigned to the volunteer at %% is %%.,"(S (NP (NP (DT The) (NNS tasks)) (VP (VBN assigned) (PP (TO to) (NP (NP (DT the) (NN volunteer)) (PP (IN at) (NP (DT the) (NN clinic))))))) (VP (VBP are) (S (VP (TO to) (VP (VB determine) (SBAR (IN whether) (S (NP (PRP she)) (VP (VBZ is) (ADJP (JJ fit) (PP (IN for) (NP (NP (DT the) (NN work)) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBZ includes) (S (VP (VP (VBG washing) (NP (NNS dishes))) (, ,) (VP (VBG helping) (PP (IN with) (NP (NN homework)))) (, ,) (VP (VBG cleaning) (NP (DT the) (NN bathroom))) (CC and) (VP (VBG taking) (NP (NN care)) (PP (IN of) (NP (NNS animals))))))))))))))))))) (. .))","The tasks assigned to the volunteer at the clinic are to determine whether she is fit for the work, which includes washing dishes, helping with homework, cleaning the bathroom and taking care of animals.",1,,1
318,229,bart-finetune,agreement_subj-long,The wood that luthiers at this workshop use for making the violins %% are %%.,"(S (NP (NP (DT The) (NN wood)) (SBAR (WHNP (IN that)) (S (NP (NP (NNS luthiers)) (PP (IN at) (NP (DT this) (NN workshop)))) (VP (NN use) (PP (IN for) (S (VP (VBG making) (NP (DT the) (NNS violins))))))))) (, ,) (PP (IN for) (NP (NN example))) (, ,) (VP (VBZ is) (NP (NP (NP (NN wood)) (PP (IN from) (NP (DT the) (VBG surrounding) (NN countryside)))) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBZ means) (SBAR (IN that) (S (NP (NP (DT the) (NNS strings)) (VP (VBN used) (PP (IN for) (S (VP (VBG making) (NP (PRP them))))))) (VP (VBP are) (PP (IN from) (NP (DT the) (NN region))) (ADVP (RB as) (RB well)))))))))) (. .))","The wood that luthiers at this workshop use for making the violins, for example, is wood from the surrounding countryside, which means that the strings used for making them are from the region as well.",1,,0
319,513,bart-finetune,agreement_subj-long,The wood that luthiers at this workshop use for making the violins %% are %%.,"(S (S (NP (NP (DT The) (NN wood)) (SBAR (WHNP (IN that)) (S (NP (NP (NNS luthiers)) (PP (IN at) (NP (DT this) (NN workshop)))) (VP (NN use) (PP (IN for) (S (VP (VBG making) (NP (DT the) (NNS violins) (CC and) (NNS pianos))))))))) (VP (VBZ is) (NP (NN wood)))) (, ,) (CC and) (S (S (NP (DT the) (NN wood)) (VP (VBZ is) (VP (VBN laid) (PP (IN in) (NP (NP (DT the) (JJ same) (NN pattern)) (PP (IN as) (NP (DT the) (JJ other) (NNS instruments)))))))) (CC and) (SBAR (IN that) (S (NP (DT the) (NNS instruments)) (VP (VBP are) (VP (VBN made) (PP (IN of) (NP (DT the) (JJ same) (NN wood)))))))) (. .))","The wood that luthiers at this workshop use for making the violins and pianos is wood, and the wood is laid in the same pattern as the other instruments and that the instruments are made of the same wood.",1,,1
320,76,bart-finetune,agreement_subj-with-coord,The style and %% has %%.,(S (NP (NP (DT The) (NN style) (CC and) (NN style)) (PP (IN of) (NP (PRP$ his) (NN work)))) (VP (VBZ has) (VP (VBN changed) (PP (IN over) (NP (DT the) (NNS years))))) (. .)),The style and style of his work has changed over the years.,0,,0
321,121,bart-finetune,agreement_subj-with-coord,The style and %% has %%.,(S (NP (NP (DT The) (NN style) (CC and) (NN character)) (PP (IN of) (NP (DT the) (NN show)))) (VP (VBZ has) (VP (VBN changed) (PP (IN over) (NP (DT the) (NNS years))))) (. .)),The style and character of the show has changed over the years.,0,,0
322,270,bart-finetune,agreement_subj-with-coord,The musician and %% was %%.,"(S (S (NP (NP (DT The) (NN musician)) (CC and) (NP (NP (DT a) (NN writer)) (PP (IN of) (NP (QP (RBR more) (IN than) (CD 30)) (NNS books)))))) (, ,) (NP (PRP he)) (VP (VBD was) (VP (VBN known) (PP (IN for) (NP (PRP$ his) (NX (NX (JJ sharp) (NN wit)) (, ,) (NP (JJ sharp) (NN humor)) (, ,) (CC and) (NX (NX (JJ wide) (NN range)) (PP (IN of) (NP (NNS interests))))))))) (. .))","The musician and a writer of more than 30 books, he was known for his sharp wit, sharp humor, and wide range of interests.",0,,0
323,171,bart-finetune,agreement_subj-with-coord,The musician and %% was %%.,"(S (S (NP (NP (DT The) (NN musician)) (CC and) (NP (NNS others))) (VP (VBD noted) (SBAR (IN that) (S (NP (NNP Mr.) (NNP Lendler)) (VP (VBD had) (VP (VBN been) (ADJP (JJ critical) (PP (IN of) (NP (NP (DT the) (NN president) (POS 's)) (NN decision) (S (VP (TO to) (VP (VB send) (NP (JJR more) (NNS troops)) (PP (TO to) (NP (NNP Iraq))))))))))))))) (, ,) (CC but) (S (NP (PRP he)) (VP (VBD said) (SBAR (S (NP (PRP it)) (VP (VBD was) (NP (NP (DT the) (JJ right) (NN thing)) (SBAR (S (VP (TO to) (VP (VB do))))))))))) (. .))","The musician and others noted that Mr. Lendler had been critical of the president's decision to send more troops to Iraq, but he said it was the right thing to do.",1,,1
